1443705226309;56.17146207;10.18946591;116.0
1443705227527; ; ;
1443705228292;56.17146142;10.18946537;116.0
1443705230293;56.17146169;10.18946529;116.0
1443705232296;56.17146122;10.18947148;116.0
1443705234298;56.17146202;10.18950438;115.0
1443705236279;56.17144872;10.18955771;116.0
1443705238310;56.17143597;10.18961283;116.0
1443705240295;56.1714269;10.18966567;115.0
1443705242346;56.17142137;10.18972139;113.0
1443705244279;56.17141668;10.18977174;113.0
1443705246279;56.17140729;10.18981611;114.0
1443705248292;56.17139984;10.18986165;115.0
1443705250304;56.17139268;10.18990241;114.0
1443705252315;56.17138907;10.1899476;112.0
1443705254368;56.17138063;10.18998583;113.0
1443705256308;56.17137629;10.19002865;111.0
1443705258327;56.17137336;10.19006933;112.0
1443705260302;56.17137321;10.19011061;113.0
1443705262293;56.17136197;10.19014825;112.0
1443705264293;56.17134879;10.19018414;112.0
1443705265824; ; ;
1443705266294;56.1713329;10.19021246;112.0
1443705268289;56.17132347;10.19023357;113.0
1443705270294;56.17130265;10.19022848;111.0
1443705272295;56.17127485;10.19021648;110.0
1443705274293;56.17124795;10.1901994;110.0
1443705276293;56.1712245;10.1901833;110.0
1443705278293;56.17119784;10.19016661;109.0
1443705280293;56.17117094;10.19014935;108.0
1443705282309;56.17114166;10.19013555;105.0
1443705284293;56.17111231;10.19012645;104.0
1443705286292;56.171086;10.19011335;105.0
1443705288291;56.17106139;10.19010158;105.0
1443705290296;56.17103293;10.1900847;107.0
1443705292293;56.17100729;10.19006744;107.0
1443705294294;56.17098092;10.19005038;107.0
1443705296291;56.17095707;10.19004205;107.0
1443705298293;56.17093341;10.19002716;107.0
1443705300345;56.17090731;10.19002121;106.0
1443705302293;56.17087866;10.1900198;107.0
1443705304330;56.17085024;10.19001264;106.0
1443705306292;56.17082075;10.19000063;105.0
1443705308295;56.17079234;10.18998794;105.0
1443705310295;56.17076355;10.18997838;106.0
1443705312302;56.17073643;10.18996886;107.0
1443705314294;56.17070537;10.18996253;107.0
1443705316284;56.17067871;10.1899545;106.0
1443705318295;56.17065025;10.18992959;105.0
1443705320294;56.17061751;10.18990638;104.0
1443705322300;56.17058644;10.18989013;106.0
1443705324306;56.17055972;10.18987534;106.0
1443705326387;56.1705315;10.18986077;106.0
1443705328292;56.17050499;10.18984918;106.0
1443705330290;56.17048018;10.18983717;105.0
1443705332278;56.17045379;10.18982735;106.0
1443705334289;56.17042763;10.18981603;106.0
1443705336346;56.17040389;10.18980318;105.0
1443705338281;56.17038026;10.18978874;106.0
1443705340293;56.17035433;10.18977849;107.0
1443705342294;56.17032924;10.18976618;106.0
1443705342982; ; ;
1443705344295;56.17031107;10.18975936;106.0
1443705346294;56.17029375;10.18975454;105.0
1443705348289;56.17027185;10.1897469;105.0
1443705350296;56.1702472;10.18973709;105.0
1443705352306;56.17022188;10.18972722;105.0
1443705354279;56.17019774;10.18971534;103.0
1443705356290;56.17017286;10.18970553;103.0
1443705358295;56.17014043;10.189702;104.0
1443705360294;56.1701044;10.18969455;104.0
1443705362292;56.17007023;10.18968175;104.0
1443705364292;56.1700405;10.18966427;102.0
1443705366294;56.17001039;10.18964566;101.0
1443705368294;56.16997817;10.18962849;101.0
1443705370302;56.16994576;10.18961236;99.0
1443705372295;56.16991702;10.18959028;99.0
1443705374294;56.16988871;10.18956937;98.0
1443705376281;56.16985931;10.18955653;97.0
1443705378302;56.16983047;10.18954362;97.0
1443705380307;56.16980388;10.18953221;97.0
1443705382318;56.16977575;10.18951752;97.0
1443705384312;56.16974927;10.18950957;97.0
1443705386291;56.1697234;10.1894973;97.0
1443705388293;56.16969316;10.18948725;99.0
1443705390292;56.16966324;10.18948144;100.0
1443705392291;56.1696346;10.18947059;100.0
1443705394292;56.16960769;10.1894597;100.0
1443705396295;56.16958239;10.1894502;100.0
1443705398294;56.16955703;10.18944204;101.0
1443705400292;56.16953502;10.18943235;101.0
1443705402292;56.16952808;10.18941743;100.0
1443705404293;56.16952049;10.18940161;97.0
1443705406292;56.16950313;10.18939073;99.0
1443705408296;56.16947635;10.18937836;101.0
1443705410292;56.16944665;10.18936901;101.0
1443705412321;56.16941567;10.18936251;103.0
1443705414290;56.16938616;10.18935062;102.0
1443705416292;56.16935605;10.18934415;100.0
1443705418293;56.16932489;10.18933806;101.0
1443705420293;56.16929676;10.18932578;100.0
1443705422293;56.16926826;10.18930274;101.0
1443705424296;56.16923961;10.18928275;100.0
1443705426277;56.16921358;10.18925677;100.0
1443705428290;56.16919236;10.18922117;100.0
1443705430290;56.16916899;10.18918341;99.0
1443705432292;56.16914205;10.18915627;100.0
1443705434325;56.16911452;10.18913;101.0
1443705436276;56.16909018;10.18910127;102.0
1443705438278;56.16906497;10.18907239;102.0
1443705440280;56.16904048;10.18904253;103.0
1443705442280;56.16902209;10.18900664;103.0
1443705444294;56.16901251;10.1889753;102.0
1443705444623; ; ;
1443705446292;56.16901474;10.18896758;103.0
1443705448293;56.16902882;10.18896371;103.0
1443705450294;56.16904822;10.18895214;104.0
1443705452278;56.16906333;10.18892653;104.0
1443705454281;56.16907873;10.18888953;104.0
1443705456278;56.16909476;10.18885271;105.0
1443705458280;56.16911215;10.18881844;106.0
1443705460277;56.16912981;10.18879308;106.0
1443705462280;56.16913665;10.18878438;106.0
1443705464279;56.16915204;10.18876312;106.0
1443705466280;56.1691723;10.18872795;107.0
1443705468281;56.16919728;10.18870255;106.0
1443705470282;56.16922652;10.18868814;104.0
1443705472282;56.16925296;10.1886682;103.0
1443705474277;56.16927799;10.18865179;102.0
